,year,month,genre,number_movie,t_use,share
0,2018-01-01,9,액션,"2,106",1487260,24.8
1,2018-01-01,9,드라마,"3,774",970147,16.2
2,2018-01-01,9,애니메이션,"1,047",750333,12.5
3,2018-01-01,9,판타지,166,595012,9.9
4,2018-01-01,9,멜로/로맨스,"2,165",416129,6.9
5,2018-01-01,9,스릴러,671,367123,6.1
6,2018-01-01,9,범죄,474,285390,4.8
7,2018-01-01,9,코미디,"1,384",266574,4.5
8,2018-01-01,9,미스터리,222,222760,3.7
9,2018-01-01,9,공포(호러),957,185228,3.1
10,2018-01-01,9,SF,424,173034,2.9
11,2018-01-01,9,사극,95,67310,1.1
12,2018-01-01,9,뮤지컬,45,62075,1.0
13,2018-01-01,9,어드벤처,185,35602,0.6
14,2018-01-01,9,기타,532,24823,0.4
15,2018-01-01,9,가족,116,24697,0.4
16,2018-01-01,9,다큐멘터리,505,22529,0.4
17,2018-01-01,9,전쟁,142,18381,0.3
18,2018-01-01,9,성인물(에로),906,17016,0.3
19,2018-01-01,9,서부극(웨스턴),56,2817,0.1
20,2018-01-01,9,공연,23,529,0.0
21,2018-01-01,7,액션,"2,084",1925737,30.2
22,2018-01-01,7,드라마,"3,710",810969,12.7
23,2018-01-01,7,애니메이션,"1,041",726559,11.4
24,2018-01-01,7,범죄,464,711206,11.1
25,2018-01-01,7,코미디,"1,425",603230,9.5
26,2018-01-01,7,멜로/로맨스,"2,049",363623,5.7
27,2018-01-01,7,미스터리,223,303640,4.8
28,2018-01-01,7,공포(호러),918,257920,4.0
29,2018-01-01,7,판타지,166,163244,2.6
30,2018-01-01,7,스릴러,657,124157,2.0
31,2018-01-01,7,SF,417,105328,1.7
32,2018-01-01,7,사극,94,64542,1.0
33,2018-01-01,7,어드벤처,187,58028,0.9
34,2018-01-01,7,전쟁,139,39546,0.6
35,2018-01-01,7,다큐멘터리,460,35991,0.6
36,2018-01-01,7,가족,118,33570,0.5
37,2018-01-01,7,기타,519,26398,0.4
38,2018-01-01,7,성인물(에로),850,20910,0.3
39,2018-01-01,7,뮤지컬,40,3408,0.1
40,2018-01-01,7,서부극(웨스턴),55,2905,0.1
41,2018-01-01,7,공연,17,574,0.0
42,2018-01-01,12,액션,"2,169",1724675,24.0
43,2018-01-01,12,드라마,"3,771",1442865,20.1
44,2018-01-01,12,범죄,477,941095,13.1
45,2018-01-01,12,애니메이션,"1,076",724046,10.1
46,2018-01-01,12,멜로/로맨스,"2,306",379662,5.3
47,2018-01-01,12,사극,100,367637,5.1
48,2018-01-01,12,판타지,172,293039,4.1
49,2018-01-01,12,코미디,"1,386",260761,3.6
50,2018-01-01,12,스릴러,664,234145,3.3
51,2018-01-01,12,공포(호러),968,159779,2.2
52,2018-01-01,12,SF,425,136454,1.9
53,2018-01-01,12,어드벤처,192,130783,1.8
54,2018-01-01,12,미스터리,219,122367,1.7
55,2018-01-01,12,가족,120,101026,1.4
56,2018-01-01,12,다큐멘터리,451,45890,0.6
57,2018-01-01,12,기타,537,41640,0.6
58,2018-01-01,12,뮤지컬,48,25691,0.4
59,2018-01-01,12,성인물(에로),928,24252,0.3
60,2018-01-01,12,전쟁,144,22882,0.3
61,2018-01-01,12,서부극(웨스턴),59,2574,0.0
62,2018-01-01,12,공연,33,419,0.0
63,2018-01-01,11,드라마,"3,773",1010559,17.7
64,2018-01-01,11,액션,"2,129",1009412,17.7
65,2018-01-01,11,범죄,478,703914,12.3
66,2018-01-01,11,사극,100,652913,11.4
67,2018-01-01,11,애니메이션,"1,056",622975,10.9
68,2018-01-01,11,멜로/로맨스,"2,267",387157,6.8
69,2018-01-01,11,코미디,"1,385",329416,5.8
70,2018-01-01,11,판타지,169,178799,3.1
71,2018-01-01,11,SF,423,156499,2.7
72,2018-01-01,11,어드벤처,189,132286,2.3
73,2018-01-01,11,공포(호러),965,129920,2.3
74,2018-01-01,11,스릴러,658,123424,2.2
75,2018-01-01,11,미스터리,221,103980,1.8
76,2018-01-01,11,가족,119,56129,1.0
77,2018-01-01,11,다큐멘터리,448,27144,0.5
78,2018-01-01,11,기타,530,26104,0.5
79,2018-01-01,11,뮤지컬,45,19757,0.4
80,2018-01-01,11,성인물(에로),915,17908,0.3
81,2018-01-01,11,전쟁,139,16539,0.3
82,2018-01-01,11,서부극(웨스턴),58,2577,0.1
83,2018-01-01,11,공연,20,356,0.0
84,2018-01-01,5,액션,"3,103",4999551,30.2
85,2018-01-01,5,애니메이션,"1,448",2546931,15.4
86,2018-01-01,5,범죄,646,2014684,12.2
87,2018-01-01,5,드라마,"5,724",1900040,11.5
88,2018-01-01,5,코미디,"1,635",1026143,6.2
89,2018-01-01,5,멜로/로맨스,"4,251",1019855,6.2
90,2018-01-01,5,스릴러,885,531290,3.2
91,2018-01-01,5,공포(호러),"1,324",493686,3.0
92,2018-01-01,5,SF,534,404187,2.4
93,2018-01-01,5,성인물(에로),"2,407",344670,2.1
94,2018-01-01,5,판타지,252,285173,1.7
95,2018-01-01,5,어드벤처,246,233042,1.4
96,2018-01-01,5,미스터리,314,217449,1.3
97,2018-01-01,5,가족,163,132412,0.8
98,2018-01-01,5,전쟁,247,105291,0.6
99,2018-01-01,5,사극,121,103029,0.6
100,2018-01-01,5,기타,881,82543,0.5
101,2018-01-01,5,다큐멘터리,696,78609,0.5
102,2018-01-01,5,뮤지컬,58,20268,0.1
103,2018-01-01,5,서부극(웨스턴),60,8537,0.1
104,2018-01-01,5,공연,35,7594,0.1
105,2018-01-01,8,액션,"2,106",1819162,26.5
106,2018-01-01,8,애니메이션,"1,053",861212,12.5
107,2018-01-01,8,드라마,"3,774",838228,12.2
108,2018-01-01,8,멜로/로맨스,"2,127",551173,8.0
109,2018-01-01,8,코미디,"1,417",534795,7.8
110,2018-01-01,8,미스터리,225,531880,7.8
111,2018-01-01,8,범죄,474,430207,6.3
112,2018-01-01,8,판타지,170,389969,5.7
113,2018-01-01,8,공포(호러),934,237696,3.5
114,2018-01-01,8,SF,427,224784,3.3
115,2018-01-01,8,스릴러,669,151565,2.2
116,2018-01-01,8,사극,95,67642,1.0
117,2018-01-01,8,어드벤처,190,51020,0.7
118,2018-01-01,8,성인물(에로),884,43531,0.6
119,2018-01-01,8,기타,517,35232,0.5
120,2018-01-01,8,가족,120,32866,0.5
121,2018-01-01,8,전쟁,143,29218,0.4
122,2018-01-01,8,다큐멘터리,464,26561,0.4
123,2018-01-01,8,서부극(웨스턴),57,4439,0.1
124,2018-01-01,8,뮤지컬,43,3462,0.1
125,2018-01-01,8,공연,23,562,0.0
126,2018-01-01,10,액션,"2,131",1359890,25.0
127,2018-01-01,10,드라마,"3,813",1012873,18.6
128,2018-01-01,10,애니메이션,"1,065",563512,10.3
129,2018-01-01,10,멜로/로맨스,"2,195",435208,8.0
130,2018-01-01,10,사극,99,428766,7.9
131,2018-01-01,10,범죄,478,337693,6.2
132,2018-01-01,10,판타지,170,334681,6.1
133,2018-01-01,10,코미디,"1,406",287289,5.3
134,2018-01-01,10,스릴러,667,196508,3.6
135,2018-01-01,10,공포(호러),958,152386,2.8
136,2018-01-01,10,미스터리,224,88822,1.6
137,2018-01-01,10,SF,424,69111,1.3
138,2018-01-01,10,어드벤처,187,39453,0.7
139,2018-01-01,10,뮤지컬,44,35818,0.7
140,2018-01-01,10,가족,119,32445,0.6
141,2018-01-01,10,기타,533,21585,0.4
142,2018-01-01,10,다큐멘터리,463,19018,0.4
143,2018-01-01,10,성인물(에로),913,17240,0.3
144,2018-01-01,10,전쟁,141,16358,0.3
145,2018-01-01,10,서부극(웨스턴),57,2154,0.0
146,2018-01-01,10,공연,19,365,0.0
147,2018-01-01,6,액션,"2,021",1351117,27.3
148,2018-01-01,6,드라마,"3,703",934699,18.9
149,2018-01-01,6,애니메이션,"1,027",594120,12.0
150,2018-01-01,6,범죄,463,387096,7.8
151,2018-01-01,6,멜로/로맨스,"2,005",348848,7.0
152,2018-01-01,6,코미디,"1,395",303124,6.1
153,2018-01-01,6,공포(호러),915,266549,5.4
154,2018-01-01,6,미스터리,219,131800,2.7
155,2018-01-01,6,SF,409,131791,2.7
156,2018-01-01,6,스릴러,655,115083,2.3
157,2018-01-01,6,판타지,165,100158,2.0
158,2018-01-01,6,다큐멘터리,462,74615,1.5
159,2018-01-01,6,전쟁,135,51033,1.0
160,2018-01-01,6,어드벤처,181,47099,1.0
161,2018-01-01,6,사극,94,45052,0.9
162,2018-01-01,6,가족,119,27430,0.6
163,2018-01-01,6,기타,501,22189,0.5
164,2018-01-01,6,성인물(에로),836,18565,0.4
